title_key,title_표기,category,수집_글수,전체_성지수,언급된_성지수,필터통과_성지수,대표성지_TOP5
마스크걸,마스크걸,drama,26,55,26,4,썰스데이파티 이태원점(2) / 덕수콜택시(2) / 해운대중학교(2) / 장암저수지(국망봉자연휴양림)(2) / 호텔토마스 명동(2)
이번생도잘부탁해,이번 생도 잘 부탁해 / 이번생도잘부탁해,drama,26,91,35,15,무진정(8) / 산청동의보감촌(8) / 채석강(6) / 스위스그랜드호텔(4) / 롯데월드(4)
신과함께죄와벌,신과함께-죄와 벌,movie,25,5,1,3,기장소방서(3) / KNN타워·센텀광장(0) / 구 부산해사고등학교(0) / 명지국제신도시 일대(0) / 정관도서관(0)
S라인,S라인,drama,24,28,3,3,서울공업고등학교(1) / 삼산경찰서(1) / 완성빌라(1) / 가치(0) / 더쿠스(0)
럭키,럭키,movie,24,9,4,3,전곡항(2) / 안즈나선아당신생각(1) / 원미상가아파트(1) / 인천아트플랫폼(1) / 남양주 종합촬영소(0)
케이팝데몬헌터스,케이팝 데몬 헌터스,movie,24,12,12,11,낙산공원(19) / 북촌한옥마을(17) / 명동거리(13) / N서울타워(12) / 청담대교(11)
디어엠,디어엠,drama,21,53,6,6,연세대학교 신촌캠퍼스(5) / 전북대학교 전주캠퍼스(4) / 호서대학교 아산캠퍼스(4) / 상명대학교 천안캠퍼스(4) / 감고당길(3)
지금거신전화는,지금 거신 전화는 / 지금거신전화는,drama,20,68,29,13,청기와타운 송도점(7) / 라움아트센터(5) / 삼성해맞이공원(5) / 비봉산 전망대(4) / 조선팰리스 강남(3)
친애하는X,친애하는 X / 친애하는X,drama,20,97,24,15,평안교회(8) / 중앙고등학교(7) / 47625커피(5) / 파주리조트골프클럽(5) / 창덕궁길(5)
공조2인터내셔날,공조2: 인터내셔날,movie,17,12,3,3,나진상가(3) / 조선팰리스 강남(1) / 세빛섬(1) / 남북출입사무소(0) / 동화경모공원(0)
달의연인보보경심려,달의연인-보보경심 려,drama,13,13,4,4,월화원(수원 효원공원)(11) / 밀양 위양지(위양못)(4) / 경산 반곡지(2) / 구례 사성암(2) / 강릉 선교장(0)
