title,category,matched_title,year,director,poster_url,status
터널,movie,터널,2016,김성훈,https://image.tmdb.org/t/p/w500/3NdzKTigenok3nTZcSZjUw7WhVa.jpg,ok
검사외전,movie,검사외전,2016,이일형,https://image.tmdb.org/t/p/w500/cXB9CaJVRIFhsqGbyDNl7vc6XWc.jpg,ok
신과함께-죄와 벌,movie,신과함께-죄와 벌,2017,김용화,https://image.tmdb.org/t/p/w500/z54zrEXAKd5u1SCPNOIAKgvGXte.jpg,ok
1987,movie,러블리 마드리드,2012,David Trueba,https://image.tmdb.org/t/p/w500/9rQDTG1bRUUeyWheR47acgqOqXE.jpg,ok
공조,movie,공조,2017,김성훈,https://image.tmdb.org/t/p/w500/9YNlKVqRs2laZl1sEkwqdadNNPs.jpg,ok
택시운전사,movie,택시운전사,2017,장훈,https://image.tmdb.org/t/p/w500/pCdx7X5JLaSJZLNVtpryGSdjvvB.jpg,ok
신과함께-인과 연,movie,신과함께-인과 연,2018,김용화,https://image.tmdb.org/t/p/w500/2ETx0U2Q5gUHtPJZiQ3hakTqyaR.jpg,ok
백두산,movie,백두산,2019,김병서;이해준,https://image.tmdb.org/t/p/w500/1n5q3XpEhCe7TnGHzsHs5pwVT8O.jpg,ok
극한직업,movie,극한직업,2019,이병헌,https://image.tmdb.org/t/p/w500/lzzb384pgYyr0GQvu3K2ZW62CEE.jpg,ok
엑시트,movie,엑시트,2019,이상근,https://image.tmdb.org/t/p/w500/7GTwjMaEVLbDBkg6McEizHTH1PF.jpg,ok
범죄도시2,movie,범죄도시 2,2022,이상용,https://image.tmdb.org/t/p/w500/9XkAF2pl2uliiuAORaWTgPmr6zG.jpg,ok
한산: 용의 출현,movie,한산: 용의 출현,2022,김한민,https://image.tmdb.org/t/p/w500/9zPOnQfvWJde1bLR9Y6DF1WUlnJ.jpg,ok
공조2: 인터내셔날,movie,공조 2: 인터내셔날,2022,이석훈,https://image.tmdb.org/t/p/w500/poEYP8BZswiVu0xCFVbq8uPxR6l.jpg,ok
서울의 봄,movie,서울의 봄,2023,김성수,https://image.tmdb.org/t/p/w500/ukVVnY9ovwl78WE5KndcpA6SnAm.jpg,ok
범죄도시3,movie,범죄도시 3,2023,이상용,https://image.tmdb.org/t/p/w500/kPtNokhBtgwSp3MHaR3X4O0SPbF.jpg,ok
베테랑2,movie,베테랑 2,2024,류승완,https://image.tmdb.org/t/p/w500/akqfhtM1Wa1klFi7ijmyNm7Sm1j.jpg,ok
파묘,movie,파묘,2024,장재현,https://image.tmdb.org/t/p/w500/tw0i3kkmOTjDjGFZTLHKhoeXVvA.jpg,ok
범죄도시4,movie,범죄도시 4,2024,허명행,https://image.tmdb.org/t/p/w500/jucHQwnRSma1O9V2bM007e4eSd7.jpg,ok
21세기 대군부인,drama,21세기 대군부인,2026,배희영;박준화,https://image.tmdb.org/t/p/w500/j37wlFXIPcSVEjWOi1KBxzWK0in.jpg,ok
김비서가 왜 그럴까,drama,김비서가 왜 그럴까,2018,박준화;Yoo Jong-sun,https://image.tmdb.org/t/p/w500/3hd6yqp59ozCt2DRlFtj1tD9cHH.jpg,ok
나의 아저씨,drama,나의 아저씨,2018,김원석,https://image.tmdb.org/t/p/w500/aPjpO3UBZ8v4rmj1RmMS1CkypDq.jpg,ok
낭만닥터 김사부 3,drama,,,,,not_found
내 남편과 결혼해줘,drama,내 남편과 결혼해줘,2024,박원국,https://image.tmdb.org/t/p/w500/tJyjZFYb3KPKuTGAi8HWfYMU7hW.jpg,ok
눈물의 여왕,drama,눈물의 여왕,2024,김희원;장영우,https://image.tmdb.org/t/p/w500/3x8GHyMTMsuXVX8pZ1OhUUHgOBx.jpg,ok
다 이루어질지니,drama,다 이루어질지니,2025,이병헌;안길호,https://image.tmdb.org/t/p/w500/zq84x5kmwomvmmJ03hzl389UGeb.jpg,ok
당신이 잠든 사이에,drama,당신이 잠든 사이에,2017,오충환,https://image.tmdb.org/t/p/w500/vtyzRkxPl3Y6bC5DgUDZ1sLb8Fs.jpg,ok
